neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
הצפון הישן החלק הדרומי,,,,,,,,,,,,,,,,53211.45,58017.82,58329.77,57108.2,56722.91
הצפון הישן-החלק הצפוני,,,,,,,,,,,,,,,,,61057.21,59119.41,61464.23,65132.42
התקווה,,,,,,,,,,,,17178.29,17796.74,16627.47,19326.69,22582.84,26736.63,25829.72,25200.88,21422.53
יד אליהו,,,,,,,,,,,,,,,,35115.39,34022.71,36133.37,40919.74,45399.48
יפו ג ונווה גולן,,6310.54,7948.33,8350.71,12115.76,12206.68,11586.29,13393.74,13981.16,17351.63,18096.64,19379.35,19360.47,24158.87,23778.53,26647.24,29077.13,29937.17,33039.71,35940.66
יפו ד (גבעת התמרים,,,,,,,12957.08,13199.33,14368.59,15395.33,17555.78,19077.89,21621.99,22515.01,22999.73,26151.59,30641.84,30842.48,36574.07,38184.74
יפו העתיקה,25860.37,18470.12,24690.05,19580.34,26844.91,30896.01,29776.37,37729.44,24468.59,22602.43,21377.7,33785.1,43148.21,45334.58,47429.56,46763.13,51632.71,47672.71,52957.35,127516.9
כוכב הצפון,,,,24700.36,27211.74,28136.98,32154.68,30667.5,37680.06,38950.03,39133.58,43747.7,34925.92,37842.08,46356.36,51261.31,52878.74,52475.04,52948.62,46774.99
כפיר,7334.57,7360.01,10398.79,10522.67,11102.26,10697.23,15879.02,16420.45,17108.43,18366.48,19897.12,19948.81,23189.17,23329.94,22961.19,24176.06,23513.68,26722.92,29846.99,27995.51
כפר שלם מזרח נווה אליעזר,7975.8,8039.0,9577.54,11459.83,12786.59,16470.08,14269.73,16858.39,17013.11,19258.43,19436.87,24421.62,21806.95,23375.02,26022.97,28085.63,24340.01,29564.29,29672.92,35708.62
כפר שלם מערב נווה ברבור,8318.06,8572.02,10191.7,11615.66,14983.56,15858.04,15952.07,17629.4,19663.62,20742.0,21513.6,22443.72,23239.96,23262.73,24617.45,26056.77,30335.55,28972.72,25040.8,27668.03
כרם התימנים,,,,,,,,44922.01,38318.67,42422.2,48546.75,51608.01,49499.01,48496.09,51219.99,50793.69,51574.81,63441.96,67111.49,71359.09
לב העיר,,,,,,,,,,,,,,,,,61738.79,61393.39,62522.52,65148.58
ליבנה ידידיה,7480.78,7127.48,8876.2,10351.13,13294.17,14682.49,13728.95,15649.24,15112.61,15834.19,17560.62,19807.1,19363.7,20734.94,23856.02,18990.77,27005.08,25243.88,32689.97,32009.76
מונטיפיורי,,,,,,,,,,,,,23234.33,36478.26,40284.31,43761.02,48484.72,48515.18,38163.64,58485.61
מעוז אביב,17382.16,16898.02,18464.09,19292.9,24354.02,30663.36,30378.4,30893.78,31856.2,37619.79,38566.36,51906.25,46291.19,46617.35,46673.96,51481.36,41253.55,64663.58,59581.59,80796.0
נאות אפקה א,15806.22,16227.38,17909.18,19478.04,22454.73,21501.35,24314.09,23340.94,25620.22,27829.6,28634.11,31496.05,34641.48,35446.11,35245.08,39656.83,40799.67,46189.45,42815.69,45512.14
נאות אפקה ב,15100.86,15559.11,18367.66,17643.65,22152.81,22570.04,25706.14,24762.88,27213.56,26785.19,30182.49,31018.17,28337.03,34331.73,36870.12,36876.84,41087.43,37762.46,47245.14,43285.36
נוה חן,7220.42,7675.85,9176.29,11177.52,12594.89,14622.01,14684.81,15778.05,15940.52,17044.88,19514.35,22018.77,22115.41,22021.52,23922.63,24417.13,28433.14,33103.08,29091.93,30821.98
נווה אביבים וסביבתה,,,,,,,,,,,,37690.29,35539.7,40318.01,38824.9,43325.62,46976.53,49260.52,46976.21,47488.04
נווה דן,14419.31,15665.32,20264.93,17060.75,16040.63,23655.74,20567.17,22445.98,22510.01,25487.35,22122.49,23212.32,19296.35,16606.19,34639.99,31996.5,33372.77,32888.44,28636.84,48247.56
נווה צדק,,,,,,,,41124.81,37033.07,49602.23,52943.53,46225.37,43111.89,49670.69,51331.98,67950.29,56979.11,59958.57,64059.84,60056.9
נווה שאנן,,,,,,,,,,,,,,30533.49,35554.93,34821.72,39864.24,38462.52,43523.71,48354.45
נופי ים,,,,,,28227.28,24843.68,26876.51,28534.71,30789.27,34229.21,27761.49,26040.24,24948.45,28415.43,34560.76,36691.33,41366.33,52724.32,66868.46
נחלת יצחק,,,,,,,,,,27809.87,28768.95,32397.28,30532.39,32486.96,34705.54,37178.89,48539.59,42535.22,46369.35,45964.62
ניר אביב,8310.01,8812.12,10294.75,13103.32,12907.56,15546.64,15475.92,16224.18,16877.86,17998.55,19821.1,23591.52,20356.87,21456.95,22895.88,25675.45,27524.85,28831.21,28570.18,31523.71
עג'מי וגבעת עליה,10640.06,9449.76,9358.05,13208.82,15309.08,20117.19,22226.1,21959.38,22438.09,19964.42,23965.84,25763.53,26364.69,30207.43,20826.93,26412.64,37252.12,31551.69,38051.16,33811.78
פלורנטין,,,,,,,,,,,,,53863.64,37750.22,39506.07,45622.16,56762.22,50651.34,57759.15,57294.47
צהלון ושיכוני חיסכון,,,,,,,,,,24679.39,26266.73,28352.4,30730.54,29496.0,32124.57,35324.05,37359.78,37747.75,42835.32,45263.02
צוקי אביב,16168.27,,,,,,,,30468.75,8347.67,10221.4,5654.29,9651.68,11084.17,11116.45,10237.66,12764.15,27108.43,13867.98,
צמרות איילון,23879.97,32266.26,26500.15,25729.15,31398.38,28314.0,25468.92,33612.78,33312.89,41848.18,40884.08,47775.93,40947.22,39577.53,45138.55,44834.89,55137.48,46611.9,44842.49,52579.87
צפון יפו,,,,,,,,,,,37364.24,37762.68,40340.39,41224.26,42967.32,44057.25,51173.06,55752.26,51643.96,54199.78
קרית שלום,,,,,,16121.78,17235.72,17818.78,18724.39,18485.76,23607.19,24413.96,20189.74,24400.26,23956.59,28220.95,31648.24,34453.54,38354.05,38268.19
רביבים,17404.45,17004.56,18108.9,20920.62,24641.13,24457.04,22877.69,24304.9,25315.12,29845.86,30359.92,31251.14,26864.5,27861.73,31759.85,34848.85,37072.61,44945.0,31932.64,39705.53
רמת אביב,,22432.07,25584.37,28988.92,34693.36,31232.31,36448.37,38839.22,38459.13,39547.94,37950.94,48255.73,52787.09,45887.07,52569.5,53661.08,65383.74,60460.41,54056.87,57159.22
רמת אביב ג,,,,,,,,29055.1,33070.84,34075.36,37620.3,44311.07,46524.45,39581.78,39930.0,45171.68,45240.57,50900.49,50153.36,46288.24
רמת אביב החדשה,17365.04,19086.06,19672.18,20785.86,24685.88,25833.2,26126.82,27773.72,29613.61,31536.72,36036.6,35310.76,36859.26,33766.2,35242.08,37867.83,42620.44,42873.16,47328.07,49840.01
רמת החייל,20849.34,19877.54,22174.92,22934.57,22320.53,31128.09,37517.48,27754.95,40058.78,38363.26,39619.77,45442.19,35605.93,34259.11,40475.82,44215.24,48398.74,47045.86,43623.01,63887.2
רמת הטייסים,11602.22,11934.6,13881.84,11765.28,18034.14,18940.15,22545.67,25148.66,25252.67,27287.87,31192.04,28107.62,35252.82,27882.15,29469.3,33340.44,35635.6,38932.74,45749.4,28931.74
שפירא,,,,,,,14108.33,18068.55,17148.79,22759.63,21811.17,22602.25,21314.45,21542.74,25191.61,23850.07,21806.28,29780.01,32714.72,38768.05
תכנית ל,,,,,,,,,,,,,,29016.04,26599.87,34081.16,34057.9,64662.35,59630.91,72379.77
תל ברוך צפון,19515.46,19444.66,21190.55,22964.04,26680.03,28932.42,28385.77,29655.22,28201.69,30728.96,35307.87,34506.74,34858.9,36031.43,37725.19,39429.32,42244.15,42301.17,41938.59,45370.89
תל חיים,10988.4,10707.19,13086.58,15371.8,16187.85,19575.19,19864.72,20363.24,22760.59,23094.89,26043.17,27650.49,25747.13,26597.18,30009.43,26419.57,30233.89,35015.49,52431.03,69800.19
תל כביר/נווה עופר/יפו ב,,6907.47,7624.95,10295.35,11866.0,12560.93,13687.77,13550.18,15082.77,16090.46,17795.81,20911.39,22724.76,21401.37,22284.93,26053.83,30841.4,26841.14,30720.04,34948.76
